ID	Diagnosis Name
1	5' 10' Methylenetetrahydrofolate Reductase Deficiency
2	Abdominal Aortic Aneurysm
3	Abducens Nerve Disorder
4	Abetalipoproteinemia
5	Acanthoma
6	Acanthosis Nigricans
7	Acatalasemia
8	Achondrogenesis
9	Achondroplasia
10	Achromatopsia
11	Acinar Cell Carcinoma
12	Acoustic Schwannoma
13	Acquired Hyperostosis Syndrome
14	Acrocallosal Syndrome
15	Acrocephalosyndactyly
16	Acrodermatitis
17	Acromegaly
18	Actinomycetales Infection
19	Actinomycosis
20	Acute Disseminated Encephalomyelitis
21	Acute Hemorrhagic Leukoencephalitis
22	Acute Infective Polyneuritis
23	Acute Intermittent Porphyria
24	Acute Liver Failure
25	Acute Lymphoblastic Leukemia
26	Acute Megakaryoblastic Leukemia
27	Acute Myeloid Leukemia
28	Acute Renal Failure
29	Acute Respiratory Distress Syndrome
30	"Acyl-CoA Dehydrogenase, Long-Chain Deficiency"
31	"Acyl-CoA Dehydrogenase, Medium-Chain Deficiency"
32	"Acyl-CoA Dehydrogenase, Short-Chain Deficiency"
33	Addison's Disease
34	Adenocarcinoma
35	Adenoid Cystic Carcinoma
36	Adenomatous Polyposis Coli
37	Adiposis Dolorosa
38	Adrenal Gland Hyperplasia
39	Adrenal Gland Neoplasm
40	Adrenal Gland Pheochromocytoma
41	Adrenoleukodystrophy
42	African Trypanosomiasis
43	Aganglionic Megacolon
44	Agnosia
45	AIDS-Related Disorder
46	AIDS-Related Lymphoma
47	Ainhum
48	Alagille Syndrome
49	Alagille Syndrome
50	Albinism
51	Alcoholic Liver Disease
52	Alexander Disease
53	Alkaptonuria
54	Allergic Bronchopulmonary Aspergillosis
55	Alopecia
56	Alpha Thalassemia
57	Alpha-1 Antitrypsin Deficiency
58	Alpha-Mannosidosis
59	Alport Syndrome
60	Alstrom Syndrome
61	Alveolar Rhabdomyosarcoma
62	Alveolar Soft Part Sarcoma
63	Alzheimer's Disease
64	Amaurosis Fugax
65	Amebiasis
66	Ameloblastoma
67	Amniotic Band Syndrome
68	Amyloid Neuropathy
69	Amyloidosis
70	Amyotrophic Lateral Sclerosis
71	Anal Neoplasm
72	Anaplastic Large Cell Lymphoma
73	Andersen Syndrome
74	Androgen Insensitivity Syndrome
75	Anemia
76	Anencephaly
77	Aneurysm
78	Angelman Syndrome
79	Angiofollicular Lymphoid Hyperplasia
80	Anhidrotic Ectodermal Dysplasia 1
81	Aniridia
82	Ankylosing Spondylitis
83	Anthracosis
84	Anthrax
85	Anti-Glomerular Basement Membrane Disease
86	Antiphospholipid Syndrome
87	Aortic Arch Syndrome
88	Aortic Coarctation
89	Aplastic Anemia
90	Appendix Carcinoma
91	Arachnoid Cyst
92	Arachnoiditis
93	Argininemia
94	Argininosuccinic Aciduria
95	Arnold-Chiari Malformation
96	Arrhythmia
97	Arrhythmogenic Right Ventricular Dysplasia
